Sl. No.,State,2013 - Cases,2013 - Deaths,2014 - Cases,2014 - Deaths,2015 (Prov till 30th Nov) - Cases,2015 (Prov till 30th Nov) - Deaths
1,Andhra Pd.,910,1,1262,5,2891,2
2,Arunachal Pd.,0,0,27,0,1933,1
3,Assam,4526,2,85,0,1011,1
4,Bihar,1246,5,297,0,1700,0
5,Chhattisgarh,83,2,440,9,362,1
6,Goa,198,2,168,1,254,0
7,Gujarat,6272,15,2320,3,4905,9
8,Haryana,1784,5,214,2,8066,12
9,Himachal Pd.,89,2,2,0,19,1
10,J & K,1837,3,1,0,137,0
11,Jharkhand,161,0,36,0,91,0
12,Karnataka,6408,12,3358,2,4691,9
13,Kerala,7938,29,2575,11,3740,25
14,Madhya Pd.,1255,9,2131,13,1592,6
15,Meghalaya,43,0,0,0,13,0
16,Maharashtra,5610,48,8573,54,4164,21
17,Manipur,9,0,0,0,52,0
18,Mizoram,7,0,19,0,43,0
19,Nagaland,0,0,0,0,9,0
20,Odisha,7132,6,6433,9,2304,2
21,Punjab,4117,25,472,8,13731,18
22,Rajasthan,4413,10,1243,7,3466,7
23,Sikkim,38,0,5,0,21,0
24,Tamil Nadu,6122,0,2804,3,3841,6
25,Tripura,8,0,6,0,36,0
26,Telangana,0,0,704,1,1740,2
27,Uttar Pradesh,1414,5,200,0,2662,9
28,Uttrakhand,54,0,106,0,1382,1
29,West Bengal,5920,6,3934,4,6822,10
30,A&N Island,67,0,139,0,143,0
31,Chandigarh,107,0,13,0,848,0
32,Delhi,5574,6,995,3,15730,38
33,D&N Haveli,190,0,641,1,1038,0
34,Daman & Diu,61,0,46,0,110,0
35,Puducherry,2215,0,1322,1,493,0
